<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,1,20240103,090000,92002,92100,92002,92073,4407
Si,1,20240103,090100,92072,92088,92032,92084,1409
Si,1,20240103,090200,92079,92097,92076,92096,560
Si,1,20240103,090300,92095,92110,92085,92095,946
Si,1,20240103,090400,92094,92096,92039,92073,1417
Si,1,20240103,090500,92073,92105,92063,92105,1334
Si,1,20240103,090600,92104,92156,92104,92144,1249
Si,1,20240103,090700,92142,92144,92129,92136,338
Si,1,20240103,090800,92137,92138,92130,92137,254
Si,1,20240103,090900,92136,92137,92135,92137,50
Si,1,20240103,091000,92137,92138,92130,92137,255
Si,1,20240103,091100,92138,92173,92123,92135,1010
Si,1,20240103,091200,92135,92181,92135,92170,580
Si,1,20240103,091300,92174,92175,92161,92174,106
Si,1,20240103,091400,92173,92185,92159,92181,516
Si,1,20240103,091500,92183,92218,92182,92205,1150
Si,1,20240103,091600,92208,92208,92183,92194,319
Si,1,20240103,091700,92188,92193,92165,92178,350
Si,1,20240103,091800,92177,92177,92154,92160,323
Si,1,20240103,091900,92161,92181,92160,92171,369
Si,1,20240103,092000,92171,92172,92123,92143,608
Si,1,20240103,092100,92144,92150,92135,92135,186
Si,1,20240103,092200,92137,92191,92137,92191,581
Si,1,20240103,092300,92192,92200,92163,92200,495
Si,1,20240103,092400,92199,92210,92194,92208,492
Si,1,20240103,092500,92209,92210,92208,92209,148
Si,1,20240103,092600,92210,92210,92191,92191,184
Si,1,20240103,092700,92191,92193,92175,92180,286
Si,1,20240103,092800,92180,92182,92172,92177,110
Si,1,20240103,092900,92176,92177,92172,92173,77
Si,1,20240103,093000,92172,92173,92156,92168,560
Si,1,20240103,093100,92169,92169,92165,92167,78
Si,1,20240103,093200,92167,92205,92166,92203,754
Si,1,20240103,093300,92203,92207,92200,92207,182
Si,1,20240103,093400,92206,92207,92188,92195,109
Si,1,20240103,093500,92194,92194,92191,92191,107
Si,1,20240103,093600,92188,92190,92182,92182,115
Si,1,20240103,093700,92182,92191,92179,92191,66
Si,1,20240103,093800,92191,92195,92190,92194,147
Si,1,20240103,093900,92192,92195,92180,92188,241
Si,1,20240103,094000,92187,92190,92187,92190,51
Si,1,20240103,094100,92188,92190,92188,92190,36
Si,1,20240103,094200,92190,92190,92185,92185,77
Si,1,20240103,094300,92185,92190,92184,92188,73
Si,1,20240103,094400,92188,92188,92155,92156,340
Si,1,20240103,094500,92156,92162,92150,92150,398
Si,1,20240103,094600,92150,92159,92142,92159,183
Si,1,20240103,094700,92160,92167,92160,92167,144
Si,1,20240103,094800,92166,92167,92166,92166,41
Si,1,20240103,094900,92166,92166,92163,92165,132
Si,1,20240103,095000,92165,92166,92165,92165,47
Si,1,20240103,095100,92166,92166,92165,92165,73
Si,1,20240103,095200,92165,92166,92165,92166,21
Si,1,20240103,095300,92166,92166,92165,92166,55
Si,1,20240103,095400,92166,92168,92166,92168,61
Si,1,20240103,095500,92168,92169,92166,92166,214
Si,1,20240103,095600,92166,92168,92166,92168,30
Si,1,20240103,095700,92168,92170,92167,92169,274
Si,1,20240103,095800,92169,92170,92169,92169,21
Si,1,20240103,095900,92170,92170,92169,92170,190
Si,1,20240103,100000,92169,92250,92160,92246,3235
Si,1,20240103,100100,92245,92271,92222,92233,1637
Si,1,20240103,100200,92234,92239,92186,92217,775
Si,1,20240103,100300,92218,92246,92201,92210,1183
Si,1,20240103,100400,92209,92237,92192,92237,926
Si,1,20240103,100500,92237,92265,92235,92245,729
Si,1,20240103,100600,92244,92246,92230,92242,436
Si,1,20240103,100700,92243,92264,92243,92250,395
Si,1,20240103,100800,92250,92355,92250,92342,2858
Si,1,20240103,100900,92342,92352,92336,92342,950
Si,1,20240103,101000,92341,92384,92341,92379,1544
Si,1,20240103,101100,92379,92379,92331,92353,1310
Si,1,20240103,101200,92356,92379,92340,92378,934
Si,1,20240103,101300,92377,92421,92368,92394,1553
Si,1,20240103,101400,92393,92393,92331,92364,993
Si,1,20240103,101500,92365,92450,92365,92446,2003
Si,1,20240103,101600,92446,92477,92307,92323,2815
Si,1,20240103,101700,92321,92412,92320,92405,1039
Si,1,20240103,101800,92405,92416,92314,92361,836
Si,1,20240103,101900,92360,92360,92305,92341,968
Si,1,20240103,102000,92344,92450,92344,92411,1296
Si,1,20240103,102100,92409,92438,92408,92427,321
Si,1,20240103,102200,92427,92450,92427,92447,382
Si,1,20240103,102300,92448,92450,92387,92393,682
Si,1,20240103,102400,92396,92400,92388,92398,161
Si,1,20240103,102500,92398,92401,92387,92387,316
Si,1,20240103,102600,92391,92391,92385,92390,82
Si,1,20240103,102700,92385,92389,92345,92358,637
Si,1,20240103,102800,92360,92440,92352,92440,637
Si,1,20240103,102900,92439,92442,92378,92381,1623
Si,1,20240103,103000,92380,92448,92371,92383,2861
Si,1,20240103,103100,92383,92392,92342,92353,784
Si,1,20240103,103200,92349,92354,92332,92347,710
Si,1,20240103,103300,92349,92379,92348,92379,413
Si,1,20240103,103400,92378,92418,92372,92401,507
Si,1,20240103,103500,92400,92402,92353,92380,729
Si,1,20240103,103600,92376,92418,92376,92409,310
Si,1,20240103,103700,92409,92422,92397,92412,363
Si,1,20240103,103800,92416,92489,92416,92487,1622
Si,1,20240103,103900,92487,92487,92430,92430,1066
Si,1,20240103,104000,92434,92490,92421,92476,1507
Si,1,20240103,104100,92481,92495,92466,92467,1123
Si,1,20240103,104200,92462,92499,92462,92484,1977
Si,1,20240103,104300,92486,92500,92472,92476,1640
Si,1,20240103,104400,92476,92480,92436,92440,658
Si,1,20240103,104500,92439,92472,92436,92466,195
Si,1,20240103,104600,92467,92488,92463,92479,267
Si,1,20240103,104700,92481,92490,92475,92479,210
Si,1,20240103,104800,92480,92498,92463,92492,887
Si,1,20240103,104900,92491,92498,92491,92491,242
Si,1,20240103,105000,92495,92496,92486,92486,184
Si,1,20240103,105100,92488,92490,92483,92484,340
Si,1,20240103,105200,92484,92489,92471,92471,247
Si,1,20240103,105300,92470,92481,92457,92462,238
Si,1,20240103,105400,92464,92464,92433,92436,723
Si,1,20240103,105500,92433,92436,92424,92433,362
Si,1,20240103,105600,92432,92463,92428,92457,265
Si,1,20240103,105700,92453,92456,92430,92430,139
Si,1,20240103,105800,92429,92455,92423,92434,729
Si,1,20240103,105900,92432,92433,92389,92412,1046
Si,1,20240103,110000,92407,92483,92407,92446,3412
Si,1,20240103,110100,92447,92497,92443,92480,3600
Si,1,20240103,110200,92480,92498,92465,92479,1361
Si,1,20240103,110300,92475,92491,92464,92475,363
Si,1,20240103,110400,92474,92490,92458,92458,715
Si,1,20240103,110500,92462,92480,92449,92475,678
Si,1,20240103,110600,92479,92486,92476,92482,308
Si,1,20240103,110700,92484,92496,92482,92489,570
Si,1,20240103,110800,92490,92500,92490,92500,2469
Si,1,20240103,110900,92500,92546,92488,92502,3569
Si,1,20240103,111000,92507,92538,92505,92527,697
Si,1,20240103,111100,92529,92540,92508,92508,530
Si,1,20240103,111200,92508,92508,92474,92474,561
Si,1,20240103,111300,92474,92491,92447,92453,515
Si,1,20240103,111400,92453,92471,92450,92461,485
Si,1,20240103,111500,92461,92523,92459,92520,1115
Si,1,20240103,111600,92520,92528,92485,92485,459
Si,1,20240103,111700,92485,92485,92460,92480,420
Si,1,20240103,111800,92479,92495,92470,92493,135
Si,1,20240103,111900,92494,92503,92493,92497,234
Si,1,20240103,112000,92496,92507,92493,92507,322
Si,1,20240103,112100,92508,92526,92503,92525,500
Si,1,20240103,112200,92525,92561,92509,92557,2238
Si,1,20240103,112300,92560,92568,92541,92559,635
Si,1,20240103,112400,92559,92565,92513,92515,621
Si,1,20240103,112500,92518,92530,92513,92526,258
Si,1,20240103,112600,92523,92541,92514,92532,554
Si,1,20240103,112700,92532,92532,92524,92525,139
