<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.BR-3.23,1,20230103,090000,90.5900000,90.5900000,90.5800000,90.5800000,7
SPFB.BR-3.23,1,20230103,090100,90.2600000,90.2600000,90.2500000,90.2500000,2
SPFB.BR-3.23,1,20230103,090300,90.3400000,90.3400000,90.3300000,90.3300000,2
SPFB.BR-3.23,1,20230103,090600,90.3500000,90.3500000,90.3300000,90.3300000,2
SPFB.BR-3.23,1,20230103,090700,90.2700000,90.3200000,90.2500000,90.3200000,3
SPFB.BR-3.23,1,20230103,090900,90.3000000,90.3000000,90.3000000,90.3000000,1
SPFB.BR-3.23,1,20230103,091100,90.2900000,90.2900000,90.2900000,90.2900000,1
SPFB.BR-3.23,1,20230103,091500,90.2700000,90.2700000,90.2700000,90.2700000,1
SPFB.BR-3.23,1,20230103,091600,90.2200000,90.2200000,90.2100000,90.2100000,2
SPFB.BR-3.23,1,20230103,092000,90.1400000,90.1400000,90.1100000,90.1100000,5
SPFB.BR-3.23,1,20230103,092300,90.1100000,90.1100000,90.0700000,90.0700000,10
SPFB.BR-3.23,1,20230103,092400,90.0700000,90.0700000,89.8700000,89.8700000,14
SPFB.BR-3.23,1,20230103,092500,89.8400000,89.8400000,89.8400000,89.8400000,1
SPFB.BR-3.23,1,20230103,092600,89.9000000,89.9000000,89.8600000,89.8700000,11
SPFB.BR-3.23,1,20230103,092700,89.7900000,89.7900000,89.7900000,89.7900000,1
SPFB.BR-3.23,1,20230103,092800,89.7700000,89.7700000,89.7600000,89.7600000,2
SPFB.BR-3.23,1,20230103,092900,89.8800000,89.8800000,89.8800000,89.8800000,1
SPFB.BR-3.23,1,20230103,093100,89.9600000,90.0000000,89.8100000,89.8100000,22
SPFB.BR-3.23,1,20230103,093800,89.8300000,89.8700000,89.8100000,89.8700000,4
SPFB.BR-3.23,1,20230103,094500,89.8700000,89.8700000,89.8700000,89.8700000,1
SPFB.BR-3.23,1,20230103,094600,89.8000000,89.8000000,89.7900000,89.7900000,7
